code,name,window,date,close,volume,trading_value
011170,롯데케미칼,평가일/2M,2026-03-10,74100,196019,14438904750
011170,롯데케미칼,평가일/2M,2026-03-11,76100,213979,16289875300
011170,롯데케미칼,평가일/2M,2026-03-12,74000,246423,18102145250
011170,롯데케미칼,평가일/2M,2026-03-13,70800,213284,15106979200
011170,롯데케미칼,평가일/2M,2026-03-16,69100,207019,14391632150
011170,롯데케미칼,평가일/2M,2026-03-17,70200,250456,17580812800
011170,롯데케미칼,평가일/2M,2026-03-18,82000,732412,58059139150
011170,롯데케미칼,평가일/2M,2026-03-19,82400,309720,25489409600
011170,롯데케미칼,평가일/2M,2026-03-20,84200,338323,28778403100
011170,롯데케미칼,평가일/2M,2026-03-23,81300,204132,16788816550
011170,롯데케미칼,평가일/2M,2026-03-24,80400,159844,12927594000
011170,롯데케미칼,평가일/2M,2026-03-25,79800,204414,16273237450
011170,롯데케미칼,평가일/2M,2026-03-26,80500,266407,21633727500
011170,롯데케미칼,평가일/2M,2026-03-27,82700,417729,33797701250
011170,롯데케미칼,평가일/2M,2026-03-30,82100,243322,19627299050
011170,롯데케미칼,평가일/2M,2026-03-31,80600,221976,18019789050
011170,롯데케미칼,평가일/2M,2026-04-01,82000,140013,11370056500
011170,롯데케미칼,평가일/2M,2026-04-02,78900,179728,14474853950
011170,롯데케미칼,평가일/2M,2026-04-03,80100,104779,8473502850
011170,롯데케미칼,평가일/2M,2026-04-06,83600,217032,18301273400
011170,롯데케미칼,평가일/2M,2026-04-07,88000,320698,28271938900
011170,롯데케미칼,평가일/2M,2026-04-08,91600,248487,22586081100
011170,롯데케미칼,평가일/2M,2026-04-09,96700,459803,44760104400
011170,롯데케미칼,평가일/2M,2026-04-10,92300,230759,21366957250
011170,롯데케미칼,평가일/2M,2026-04-13,88600,164553,14530474800
011170,롯데케미칼,평가일/2M,2026-04-14,88600,170620,15071940350
011170,롯데케미칼,평가일/2M,2026-04-15,89600,139669,12552288500
011170,롯데케미칼,평가일/2M,2026-04-16,89300,144390,12925393100
011170,롯데케미칼,기준일/2M,2025-10-31,70700,118819,8374680550
011170,롯데케미칼,기준일/2M,2025-11-03,71500,172043,12250717000
011170,롯데케미칼,기준일/2M,2025-11-04,73500,218430,15982852900
011170,롯데케미칼,기준일/2M,2025-11-05,69900,151339,10559549700
011170,롯데케미칼,기준일/2M,2025-11-06,71200,110071,7785716450
011170,롯데케미칼,기준일/2M,2025-11-07,68800,127619,8765555850
011170,롯데케미칼,기준일/2M,2025-11-10,73700,170222,12354133900
011170,롯데케미칼,기준일/2M,2025-11-11,73800,151848,11228105350
011170,롯데케미칼,기준일/2M,2025-11-12,84800,913548,74792294400
011170,롯데케미칼,기준일/2M,2025-11-13,87000,550266,47720455700
011170,롯데케미칼,기준일/2M,2025-11-14,85200,246409,21367848600
011170,롯데케미칼,기준일/2M,2025-11-17,84500,134254,11336719650
011170,롯데케미칼,기준일/2M,2025-11-18,80600,174061,14277805850
011170,롯데케미칼,기준일/2M,2025-11-19,79700,116542,9330233100
011170,롯데케미칼,기준일/2M,2025-11-20,80000,62826,5084287600
011170,롯데케미칼,기준일/2M,2025-11-21,78000,60861,4749861650
011170,롯데케미칼,기준일/2M,2025-11-24,74500,143258,10865596150
011170,롯데케미칼,기준일/2M,2025-11-25,74500,74229,5542087150
011170,롯데케미칼,기준일/2M,2025-11-26,75600,560927,42710660450
011170,롯데케미칼,기준일/2M,2025-11-27,75700,190360,14540169950
011170,롯데케미칼,기준일/2M,2025-11-28,72200,264626,19234910200
011170,롯데케미칼,기준일/2M,2025-12-01,72700,87359,6345708150
011170,롯데케미칼,기준일/2M,2025-12-02,74400,92971,6867880650
011170,롯데케미칼,기준일/2M,2025-12-03,74500,106012,7875612300
011170,롯데케미칼,기준일/2M,2025-12-04,73400,143329,10426168350
011170,롯데케미칼,기준일/2M,2025-12-05,72900,91785,6658498200
011170,롯데케미칼,기준일/2M,2025-12-08,72900,91288,6635322900
011170,롯데케미칼,기준일/2M,2025-12-09,73000,80002,5814073800
011170,롯데케미칼,기준일/2M,2025-12-10,73600,136084,10050700650
011170,롯데케미칼,기준일/2M,2025-12-11,72400,117614,8595954100
011170,롯데케미칼,기준일/2M,2025-12-12,74400,93793,6923364100
011170,롯데케미칼,기준일/2M,2025-12-15,74100,86202,6409328650
011170,롯데케미칼,기준일/2M,2025-12-16,73300,83172,6105693550
011170,롯데케미칼,기준일/2M,2025-12-17,78900,451905,35360495250
011170,롯데케미칼,기준일/2M,2025-12-18,72500,270254,19968006700
011170,롯데케미칼,기준일/2M,2025-12-19,71200,201627,14429018550
011170,롯데케미칼,기준일/2M,2025-12-22,73300,126749,9306082750
011170,롯데케미칼,기준일/2M,2025-12-23,74100,92985,6900827950
011170,롯데케미칼,기준일/2M,2025-12-24,74200,61982,4601982150
011170,롯데케미칼,기준일/2M,2025-12-26,72500,106720,7840002150
011170,롯데케미칼,기준일/2M,2025-12-29,71200,117532,8342194550
011170,롯데케미칼,기준일/2M,2025-12-30,70300,65384,4591631600
047050,포스코인터내셔널,평가일/2M,2026-02-19,69200,662967,45832432600
047050,포스코인터내셔널,평가일/2M,2026-02-20,75300,2049003,153601674400
047050,포스코인터내셔널,평가일/2M,2026-02-23,73200,700595,51638755650
047050,포스코인터내셔널,평가일/2M,2026-02-24,73400,452693,33072676100
047050,포스코인터내셔널,평가일/2M,2026-02-25,75500,826143,62355140600
047050,포스코인터내셔널,평가일/2M,2026-02-26,75600,624403,47123415200
047050,포스코인터내셔널,평가일/2M,2026-02-27,72200,1069982,77302939850
047050,포스코인터내셔널,평가일/2M,2026-03-03,70400,1027820,73463461800
047050,포스코인터내셔널,평가일/2M,2026-03-04,59000,1185142,74124310750
047050,포스코인터내셔널,평가일/2M,2026-03-05,66000,651864,42671625550
047050,포스코인터내셔널,평가일/2M,2026-03-06,73300,1701854,121703961300
047050,포스코인터내셔널,평가일/2M,2026-03-09,76600,5457804,436262124850
047050,포스코인터내셔널,평가일/2M,2026-03-10,75800,1819933,138279747450
047050,포스코인터내셔널,평가일/2M,2026-03-11,76400,1630596,124287014900
047050,포스코인터내셔널,평가일/2M,2026-03-12,79500,2166102,173032368850
047050,포스코인터내셔널,평가일/2M,2026-03-13,73700,1879272,145904377750
047050,포스코인터내셔널,평가일/2M,2026-03-16,73800,844769,63313582600
047050,포스코인터내셔널,평가일/2M,2026-03-17,72000,990475,71597689150
047050,포스코인터내셔널,평가일/2M,2026-03-18,71600,668812,48276302350
047050,포스코인터내셔널,평가일/2M,2026-03-19,71800,881980,64002809100
047050,포스코인터내셔널,평가일/2M,2026-03-20,77000,1726036,132806910100
047050,포스코인터내셔널,평가일/2M,2026-03-23,76900,1585487,124562109450
047050,포스코인터내셔널,평가일/2M,2026-03-24,75900,639799,48473040550
047050,포스코인터내셔널,평가일/2M,2026-03-25,75800,758483,57176967350
047050,포스코인터내셔널,평가일/2M,2026-03-26,78200,1054295,81578755850
047050,포스코인터내셔널,평가일/2M,2026-03-27,74500,975843,72094386500
047050,포스코인터내셔널,평가일/2M,2026-03-30,75400,678851,50741024300
047050,포스코인터내셔널,평가일/2M,2026-03-31,71500,656711,47970852650
047050,포스코인터내셔널,평가일/2M,2026-04-01,75700,850270,64589739200
